index,date
1,23/02/2020
2,24/02/2020
3,25/02/2020
4,26/02/2020
5,27/02/2020
6,28/02/2020
7,29/02/2020
8,01/03/2020
9,02/03/2020
10,03/03/2020
11,04/03/2020
12,05/03/2020
13,06/03/2020
14,07/03/2020
15,08/03/2020
16,09/03/2020
17,10/03/2020
18,11/03/2020
19,12/03/2020
20,13/03/2020
21,14/03/2020
22,15/03/2020
23,16/03/2020
24,17/03/2020
25,18/03/2020
26,19/03/2020
27,20/03/2020
28,21/03/2020
29,22/03/2020
30,23/03/2020
31,24/03/2020
32,25/03/2020
33,26/03/2020
34,27/03/2020
35,28/03/2020
36,29/03/2020
37,30/03/2020
38,31/03/2020
39,01/04/2020
40,02/04/2020
41,03/04/2020
42,04/04/2020
43,05/04/2020